query,startup,networking,reasoning
q1.n3,23,414,40
q10.n3,25,410,46
q11.n3,23,411,65
q12.n3,23,409,57
q13.n3,23,413,30
q14.n3,23,408,29
q15.n3,23,409,13
q16.n3,23,410,40
q17.n3,23,410,18
q18.n3,23,412,9
q19.n3,23,413,15
q2.n3,23,408,19
q20.n3,23,415,53
q21.n3,22,408,74
q22.n3,23,410,56
q23.n3,23,409,41
q24.n3,23,411,52
q25.n3,23,409,92
q3.n3,23,410,47
q4.n3,23,411,34
q5.n3,23,407,22
q6.n3,23,412,28
q7.n3,23,413,64
q8.n3,23,410,54
q9.n3,23,410,56
,,,
average,23.04,410.48,42.16
